sensor,uptime,pm1_0,pm2_5,pm10,pm1_0_ac,pm2_5_ac,pm10_ac,um03,um05,um1,um2_5,um5,um10,type,time
pms7003,1023,13,17,17,13,17,17,2133,645,98,0,0,0,json,2020-10-08 11:23:13
pms7003,1054,12,15,17,12,15,17,1986,608,74,3,3,2,json,2020-10-08 11:23:43
pms7003,1085,13,15,16,13,15,16,2082,623,72,1,0,0,json,2020-10-08 11:24:15
pms7003,1116,14,17,17,14,17,17,2277,696,88,0,0,0,json,2020-10-08 11:24:45
pms7003,1147,14,16,16,14,16,16,2304,706,91,2,0,0,json,2020-10-08 11:25:17
pms7003,1178,12,15,15,12,15,15,1998,619,60,1,1,0,json,2020-10-08 11:25:48
pms7003,1209,14,18,18,14,18,18,2292,710,102,0,0,0,json,2020-10-08 11:26:19
pms7003,1240,13,16,16,13,16,16,2205,666,72,0,0,0,json,2020-10-08 11:26:50
pms7003,1271,11,14,15,11,14,15,2073,633,66,2,0,0,json,2020-10-08 11:27:21
pms7003,1302,14,17,19,14,17,19,2160,678,82,3,3,3,json,2020-10-08 11:27:52
pms7003,1333,14,16,18,14,16,18,2181,667,77,2,2,2,json,2020-10-08 11:28:23
pms7003,1364,13,16,16,13,16,16,2238,661,73,1,0,0,json,2020-10-08 11:28:53
pms7003,1395,12,16,16,12,16,16,2022,624,92,0,0,0,json,2020-10-08 11:29:25
pms7003,1426,14,19,20,14,19,20,2382,732,98,3,1,1,json,2020-10-08 11:29:56
pms7003,1457,10,13,14,10,13,14,1860,569,66,3,1,1,json,2020-10-08 11:30:27
pms7003,1488,12,15,15,12,15,15,1944,612,72,0,0,0,json,2020-10-08 11:30:58
pms7003,1519,10,13,14,10,13,14,1899,585,71,3,1,1,json,2020-10-08 11:31:29
pms7003,1550,13,16,17,13,16,17,2064,646,81,1,1,1,json,2020-10-08 11:32:00
pms7003,1581,14,18,18,14,18,18,2352,722,98,0,0,0,json,2020-10-08 11:32:31
pms7003,1612,13,16,16,13,16,16,2010,623,90,0,0,0,json,2020-10-08 11:33:02
pms7003,1643,13,16,19,13,16,19,2022,627,106,4,4,1,json,2020-10-08 11:33:33
pms7003,1674,12,16,16,12,16,16,2076,647,86,4,0,0,json,2020-10-08 11:34:04
pms7003,1705,13,15,17,13,15,17,2046,628,72,3,2,2,json,2020-10-08 11:34:35
pms7003,1736,13,16,18,13,16,18,2208,667,84,2,2,2,json,2020-10-08 11:35:06
pms7003,1767,13,17,19,13,17,19,2139,669,96,5,3,1,json,2020-10-08 11:35:37
pms7003,1798,14,17,17,14,17,17,2166,647,74,2,0,0,json,2020-10-08 11:36:08
pms7003,1829,13,14,14,13,14,14,2088,624,59,0,0,0,json,2020-10-08 11:36:39
pms7003,1860,14,16,17,14,16,17,2139,667,74,2,1,1,json,2020-10-08 11:37:09
pms7003,1891,11,15,15,11,15,15,1944,594,94,1,1,0,json,2020-10-08 11:37:41
pms7003,1922,13,18,19,13,18,19,2124,661,108,3,1,1,json,2020-10-08 11:38:12
pms7003,1953,13,16,16,13,16,16,2034,637,79,0,0,0,json,2020-10-08 11:38:43
pms7003,1984,13,17,18,13,17,18,2157,657,82,3,2,1,json,2020-10-08 11:39:14
pms7003,2015,12,16,16,12,16,16,2061,635,86,2,0,0,json,2020-10-08 11:39:45
pms7003,2046,14,18,19,14,18,19,2304,694,108,2,1,1,json,2020-10-08 11:40:16
pms7003,2077,12,16,16,12,16,16,1962,595,88,3,0,0,json,2020-10-08 11:40:47
pms7003,2108,11,15,15,11,15,15,1872,570,80,0,0,0,json,2020-10-08 11:41:18
pms7003,2139,13,14,14,13,14,14,1968,603,62,0,0,0,json,2020-10-08 11:41:49
pms7003,2170,12,15,16,12,15,16,1947,593,85,2,1,1,json,2020-10-08 11:42:19
pms7003,2201,11,15,15,11,15,15,1992,599,92,0,0,0,json,2020-10-08 11:42:51
pms7003,2232,12,17,18,12,17,18,2034,619,84,4,1,1,json,2020-10-08 11:43:22
pms7003,2263,13,16,18,13,16,18,2070,621,112,3,2,1,json,2020-10-08 11:43:52
pms7003,2294,12,15,16,12,15,16,2007,611,76,2,1,1,json,2020-10-08 11:44:24
pms7003,2325,13,16,16,13,16,16,2115,640,86,0,0,0,json,2020-10-08 11:44:55
pms7003,2356,12,16,16,12,16,16,2139,653,79,1,1,0,json,2020-10-08 11:45:26
pms7003,2387,14,17,18,14,17,18,2103,670,77,5,2,1,json,2020-10-08 11:45:57
pms7003,2418,11,13,13,11,13,13,1908,573,61,1,1,1,json,2020-10-08 11:46:28
pms7003,2449,10,13,14,10,13,14,1797,544,50,1,1,0,json,2020-10-08 11:46:59
pms7003,2480,11,15,15,11,15,15,1980,612,100,2,0,0,json,2020-10-08 11:47:30
pms7003,2511,14,15,16,14,15,16,2043,631,74,1,1,0,json,2020-10-08 11:48:00
pms7003,2542,13,15,15,13,15,15,2040,622,73,1,0,0,json,2020-10-08 11:48:32
pms7003,2573,13,16,16,13,16,16,2019,632,86,2,0,0,json,2020-10-08 11:49:03
pms7003,2604,12,14,14,12,14,14,1977,605,77,0,0,0,json,2020-10-08 11:49:33
pms7003,2635,10,14,15,10,14,15,1770,553,73,3,2,2,json,2020-10-08 11:50:05
pms7003,2666,11,14,15,11,14,15,1965,600,76,4,1,1,json,2020-10-08 11:50:36
pms7003,2697,11,13,13,11,13,13,1791,531,60,1,0,0,json,2020-10-08 11:51:07
pms7003,2728,13,17,17,13,17,17,2094,636,106,2,0,0,json,2020-10-08 11:51:38
pms7003,2759,12,14,14,12,14,14,1923,595,80,2,0,0,json,2020-10-08 11:52:10
pms7003,2790,14,19,20,14,19,20,2286,716,104,4,0,0,json,2020-10-08 11:52:40
pms7003,2821,13,16,17,13,16,17,2010,628,74,4,1,1,json,2020-10-08 11:53:10
pms7003,2852,13,16,16,13,16,16,2109,655,80,0,0,0,json,2020-10-08 11:53:42
pms7003,2883,13,16,16,13,16,16,2094,642,76,0,0,0,json,2020-10-08 11:54:13
pms7003,2914,12,16,16,12,16,16,1896,574,100,1,0,0,json,2020-10-08 11:54:44
pms7003,2945,12,14,14,12,14,14,1899,588,58,1,0,0,json,2020-10-08 11:55:15
pms7003,2976,11,15,15,11,15,15,1836,569,108,2,1,0,json,2020-10-08 11:55:46
pms7003,3007,10,14,15,10,14,15,1944,583,100,1,0,0,json,2020-10-08 11:56:17
pms7003,3038,13,16,17,13,16,17,2214,671,76,2,1,1,json,2020-10-08 11:56:48
pms7003,3069,12,14,16,12,14,16,1890,583,71,3,2,2,json,2020-10-08 11:57:19
pms7003,3100,12,14,14,12,14,14,2031,603,62,1,1,1,json,2020-10-08 11:57:49
pms7003,3131,13,16,16,13,16,16,2067,635,90,0,0,0,json,2020-10-08 11:58:21
pms7003,3162,13,16,16,13,16,16,2100,650,74,1,0,0,json,2020-10-08 11:58:51
